seg_count,atl07_dt,h_surf,w_gauss,fpb_corr,atl07_h,atl07_w,atl07_fpb
30209,38060910.00031425,0.051721129012464395,0.0809999980032444,0.014138521435499998,0.053545583,0.077,0.01412874
30210,38060910.00153006,0.044407183645441606,0.08899999633431435,0.015625044735,0.045425277,0.088,0.015614235
30211,38060910.00274034,0.05003684435883393,0.0809999980032444,0.016345297425,0.050922424,0.081,0.016698902
30212,38060910.00410073,0.05384675152548457,0.08299999758601188,0.012932523340499998,0.054848425,0.083,0.012923577
30213,38060910.00538808,0.05031931429991676,0.0809999980032444,0.0157052283,0.051328667,0.08,0.015694363
30214,38060910.006668314,0.06065548856438774,0.07799999862909317,0.016049445675,0.06000031,0.081999995,0.015694363
30215,38060910.00780531,0.07464000361116874,0.08999999612569809,0.017827390859999997,0.074647374,0.088999994,0.017815057
30216,38060910.0090249,0.07454570306359454,0.07599999904632568,0.015026875605,0.070866026,0.074999996,0.01633399
30217,38060910.01040525,0.06806790644379568,0.09199999570846558,0.017827390859999997,0.0753891,0.089999996,0.016385637
30218,38060910.01132652,0.0741695502211126,0.08299999758601188,0.022271625195,0.07418783,0.081999995,0.022256218
30219,38060910.01242292,0.07474456114042383,0.07699999883770943,0.020158711995,0.074766286,0.076,0.020144766
30220,38060910.01344007,0.06104567926824256,0.09899999760091305,0.02137659024,0.062054377,0.098,0.021361802
30221,38060910.01448151,0.05246447886985983,0.09399999529123307,0.018976712565,0.052458722,0.095,0.018963585
30222,38060910.015744574,0.06729671033174078,0.0809999980032444,0.01844171388,0.06731387,0.078999996,0.018428955
30223,38060910.01696229,0.04445877263399112,0.07699999883770943,0.017827390859999997,0.044468686,0.076,0.017815057
30224,38060910.018099844,0.027305333299455725,0.06999999843537807,0.017451539279999997,0.027306065,0.069,0.017439466
30225,38060910.019330926,0.026912446941505408,0.08299999758601188,0.019381286699999997,0.026942814,0.088999994,0.019353595
30226,38060910.02031504,0.03907164286130538,0.08199999779462815,0.018551271899999996,0.039086517,0.081,0.018538438
30227,38060910.021469414,0.033241477481927184,0.07399999834597111,0.0141156495885,0.03845229,0.074,0.013508878
30228,38060910.02278144,0.04056134045119375,0.07299999836832285,0.013518229424999998,0.040560666,0.072,0.013508878
30229,38060910.023809135,0.04440360688786349,0.08999999612569809,0.015033379335,0.044413213,0.088999994,0.015022979
30230,38060910.024999246,0.07622330542203404,0.11999999731779099,0.017459702310000002,0.08343323,0.122999996,0.017447624
30231,38060910.025931455,0.0977633139163272,0.11899999752640725,0.02137659024,0.097769424,0.118,0.021361802
30232,38060910.026931934,0.12642399932394088,0.12599999830126762,0.022701283515,0.1264246,0.125,0.022685578
30233,38060910.027919516,0.1375251983630834,0.1599999964237213,0.02341227705,0.13852997,0.159,0.02339608
30234,38060910.02896741,0.09586165387981893,0.12999999895691872,0.020855528219999996,0.09567731,0.11399999,0.0208411
30235,38060910.030194715,0.10264265688212859,0.08899999633431435,0.017827390859999997,0.10265311,0.088,0.017815057
30236,38060910.03134594,0.16950855805686427,0.13299999944865704,0.02142537915,0.17096277,0.129,0.020994054
30237,38060910.032365024,0.2873678021795776,0.19599999636411666,0.023259239205,0.28003496,0.19,0.022843204
30238,38060910.03305759,0.3372416583194511,0.26299998760223386,0.022488124545,0.34391978,0.25599998,0.020685006
30239,38060910.03407138,0.22238611799171082,0.28999999165534973,0.01897106919,0.22432764,0.289,0.018036313
30240,38060910.03508349,0.18094646924794766,0.115999998152256,0.022767617985000002,0.1804514,0.105,0.022959627
