mframe,pulse,n_photons
755298182,174,17
755298232,101,17
755298257,3,17
755298265,116,18
755298270,76,18
755298270,79,18
755298270,80,17
755298270,86,18
755298296,199,17
755298297,12,17
755298297,13,17
755298297,14,18
755298297,18,18
755298301,12,17
755298301,14,19
755298301,17,19
755298301,19,17
755298301,21,17
755298301,23,17
755298301,26,17
755298301,27,18
755298301,30,19
755298301,37,17
755298301,44,17
755298313,51,17
755298317,58,17
755298317,80,17
755298328,8,17
755298328,16,17
755298328,17,17
755298328,18,17
755298328,19,18
755298328,29,17
755298328,37,17
755298328,55,17
755298328,62,17
755298328,66,17
755298328,71,17
755298328,74,17
755298328,80,17
755298328,81,17
755298328,88,17
755298328,89,18
755298328,90,17
755298328,96,18
755298328,99,18
755298369,160,17
755298369,186,18
755298370,12,17
755298370,15,17
755298370,17,17
755298370,19,17
755298370,23,17
755298370,24,18
755298370,26,18
755298370,31,19
755298370,32,19
755298370,33,20
755298370,34,17
755298370,36,18
755298370,41,18
755298370,42,18
755298370,43,21
755298370,44,17
755298370,45,18
755298370,46,18
755298370,48,17
755298370,49,18
755298370,50,18
755298370,55,17
755298370,56,17
755298370,60,17
755298370,61,17
755298370,62,17
755298370,63,17
755298370,64,17
755298370,65,17
755298370,66,17
755298370,69,18
755298370,70,20
755298370,72,18
755298370,79,18
755298370,81,19
755298370,82,19
755298370,83,18
755298370,84,17
755298370,85,18
755298370,86,18
755298370,87,18
755298370,89,17
755298370,91,17
755298370,93,17
755298370,96,17
755298370,97,17
755298370,112,17
755298385,52,17
755298385,58,17
755298385,67,17
755298385,147,17
755298385,150,17
755298385,159,18
755298385,162,17
755298385,170,17
755298385,174,17
755298385,196,18
755298385,197,18
755298385,198,17
755298386,1,17
755298386,2,17
755298386,7,17
755298386,13,17
755298386,14,18
755298386,18,18
755298386,23,17
755298386,26,17
755298386,32,18
755298386,44,18
755298386,47,18
755298386,50,17
755298386,55,17
755298386,61,17
755298386,67,17
755298386,75,17
755298386,92,17
755298386,94,17
755298386,95,17
755298386,97,17
755298386,102,17
755298386,107,17
755298386,108,17
755298386,110,17
755298386,114,17
755298386,118,17
755298386,122,17
755298386,125,17
755298386,126,17
755298386,132,17
755298386,133,17
755298386,137,18
755298386,144,17
755298386,148,18
755298386,151,18
755298386,153,18
755298386,163,17
755298386,178,18
755298386,180,17
755298386,181,18
755298386,184,18
755298386,185,17
755298386,189,17
755298386,192,17
755298386,193,18
755298386,198,17
755298387,4,17
755298387,11,17
755298387,14,18
755298387,24,17
755298387,25,17
755298387,27,17
755298387,28,17
755298387,32,17
755298387,38,17
755298387,40,17
755298387,45,18
755298387,46,17
755298387,47,18
755298387,48,18
755298387,52,17
755298387,60,17
755298387,61,19
755298387,64,17
755298387,71,17
755298387,73,17
755298387,74,18
755298387,75,17
755298387,77,17
755298387,84,17
755298387,85,17
755298387,88,17
755298387,93,17
755298387,103,19
755298387,107,18
755298387,114,17
755298387,116,17
755298387,117,17
755298387,118,17
755298387,121,17
755298387,130,17
755298387,131,17
755298387,133,17
755298387,134,17
755298387,136,17
755298387,138,17
755298387,139,17
755298387,140,17
755298387,144,18
755298387,145,18
755298387,152,17
755298387,159,17
755298387,160,18
755298387,163,17
755298387,168,18
755298387,172,17
755298387,176,17
755298387,179,18
755298387,184,17
755298387,185,17
755298387,186,18
755298387,190,17
755298387,198,17
755298387,199,17
755298388,1,17
755298388,7,17
755298388,8,17
755298388,9,17
755298388,12,17
755298388,14,17
755298388,16,17
755298388,19,17
755298388,21,18
755298388,22,17
755298388,24,17
755298388,26,17
755298388,28,17
755298388,32,17
755298388,37,17
755298388,40,17
755298388,44,18
755298388,45,17
755298388,47,17
755298388,51,17
755298388,53,17
755298388,74,17
755298388,75,17
755298388,78,17
755298388,81,18
755298388,85,17
755298388,86,17
755298388,87,17
755298388,89,17
755298399,145,17
755298399,148,17
755298399,152,18
755298399,157,18
755298399,169,17
755298415,91,17
755298415,117,17
755298415,120,17
755298415,121,17
755298418,120,17
755298419,150,17
755298424,8,18
755298424,10,17
755298424,15,18
755298424,18,18
755298424,22,17
